,model_var,model_cross,JS-native,JS-nonnative,acc-native,acc-nonnative,arch,rep,lang,domain
229,mfcc_mean_class_2_wvFRNonnativeResponses10Fold_varHiddenRelu,9,0.4168669853087466,0.2693531814681784,0.24154589371980675,0.3974358974358974,mean,mfcc,FR,non-nat
230,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,0,0.3186895927146397,0.4394058667069754,0.4090909090909091,0.24675324675324675,mean,mfcc,FR,nat
231,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,1,0.31134781003511536,0.4392657787304281,0.43478260869565216,0.24285714285714285,mean,mfcc,FR,nat
232,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,2,0.31370585943872287,0.41814228656097285,0.391304347826087,0.2714285714285714,mean,mfcc,FR,nat
233,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,3,0.3041512573401937,0.44562665929887035,0.4090909090909091,0.24155844155844156,mean,mfcc,FR,nat
234,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,4,0.28298203862942534,0.4639336039778236,0.5,0.20909090909090908,mean,mfcc,FR,nat
235,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,5,0.34182313830964867,0.4671840344217214,0.3333333333333333,0.2,mean,mfcc,FR,nat
236,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,6,0.37381471767646224,0.42108921979656794,0.2631578947368421,0.2662337662337662,mean,mfcc,FR,nat
237,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,7,0.27478663709561674,0.4315840833988027,0.3684210526315789,0.2584415584415584,mean,mfcc,FR,nat
238,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,8,0.33153356169898907,0.4356978045257964,0.47619047619047616,0.24155844155844156,mean,mfcc,FR,nat
239,mfcc_mean_class_2_wvFRResponses10Fold_varHiddenRelu,9,0.3578061826349224,0.43434143445929996,0.35,0.24025974025974026,mean,mfcc,FR,nat
240,w2v2-large_knn_2_wvENNonnativeResponses10Fold,0,0.5454436523047425,0.49280126039113686,0.16875,0.21951219512195122,knn,w2v2-large,EN,non-nat
241,w2v2-large_knn_2_wvENNonnativeResponses10Fold,1,0.563156386609297,0.5049161869199738,0.14375,0.18292682926829268,knn,w2v2-large,EN,non-nat
242,w2v2-large_knn_2_wvENNonnativeResponses10Fold,2,0.5704982742948783,0.5210947435492582,0.15,0.2345679012345679,knn,w2v2-large,EN,non-nat
243,w2v2-large_knn_2_wvENNonnativeResponses10Fold,3,0.5196662325930991,0.4757622850109794,0.19375,0.2222222222222222,knn,w2v2-large,EN,non-nat
244,w2v2-large_knn_2_wvENNonnativeResponses10Fold,4,0.5422426022577499,0.49958111116482107,0.19375,0.21951219512195122,knn,w2v2-large,EN,non-nat
245,w2v2-large_knn_2_wvENNonnativeResponses10Fold,5,0.542865690384272,0.5259833990289329,0.1875,0.13580246913580246,knn,w2v2-large,EN,non-nat
246,w2v2-large_knn_2_wvENNonnativeResponses10Fold,6,0.5238702765603276,0.5146214827757933,0.2,0.20987654320987653,knn,w2v2-large,EN,non-nat
247,w2v2-large_knn_2_wvENNonnativeResponses10Fold,7,0.5548608832548292,0.4809232662268526,0.16875,0.2682926829268293,knn,w2v2-large,EN,non-nat
248,w2v2-large_knn_2_wvENNonnativeResponses10Fold,8,0.5269748638821813,0.5082987226017147,0.19375,0.17073170731707318,knn,w2v2-large,EN,non-nat
249,w2v2-large_knn_2_wvENNonnativeResponses10Fold,9,0.5097082804906394,0.47783283670671134,0.1875,0.27710843373493976,knn,w2v2-large,EN,non-nat
250,w2v2-large_knn_2_wvENResponses10Fold,0,0.45699207973526246,0.5051906688306286,0.25,0.1419828641370869,knn,w2v2-large,EN,nat
251,w2v2-large_knn_2_wvENResponses10Fold,1,0.609290380342096,0.4914619320877388,0.06666666666666667,0.17135862913096694,knn,w2v2-large,EN,nat
252,w2v2-large_knn_2_wvENResponses10Fold,2,0.5229224811189974,0.4958748630377473,0.25,0.17870257037943696,knn,w2v2-large,EN,nat
253,w2v2-large_knn_2_wvENResponses10Fold,3,0.5233184979360332,0.49585251474522013,0.17647058823529413,0.1664626682986536,knn,w2v2-large,EN,nat
254,w2v2-large_knn_2_wvENResponses10Fold,4,0.5135792798192602,0.533977348576008,0.125,0.13708690330477355,knn,w2v2-large,EN,nat
